siteid,Country,num_patients_all,perc_patients_ever_severe,perc_patients_never_severe,female,male,other_sex,unknown_other_sex,00to02,03to05,06to11,12to17,18to25,26to49,50to69,70to79,80plus,other_age_group,unknown_other_age_group,american_indian,asian,black,hawaiian_pacific_islander,hispanic_latino,other,white,unknown_other_race
SITE295,USA,73,0.6164383561643836,0.3835616438356164,0.410958904109589,0.589041095890411,0,0,0,0,0,0,0,0.2876712328767123,0.4246575342465753,0.1506849315068493,0.1095890410958904,0,0.0273972602739726,0,0,0.273972602739726,0,0.3013698630136986,0,0.5068493150684932,-0.0821917808219178
SITE859,USA,217,0.9032258064516129,0.0967741935483871,0.05069124423963134,0.9493087557603687,0,0,0,0,0,0,0,0.04608294930875576,0.2903225806451613,0.33640552995391704,0.3271889400921659,0,0,0,0,0.17511520737327188,0,0,0.06451612903225806,0.7419354838709677,0.08294930875576037
SITE533,USA,474,0.9936708860759493,0.006329113924050633,0.0970464135021097,0.9029535864978903,0,0,0,0,0,0,0,0.07383966244725738,0.4409282700421941,0.3080168776371308,0.1751054852320675,0,0.002109704641350211,0,0,0.5063291139240507,0,0,0.13924050632911392,0.3459915611814346,0.14767932489451477
SITE163,USA,407,0.9975429975429976,0.002457002457002457,0.085995085995086,0.914004914004914,0,0,0,0,0,0,0.036855036855036855,0.085995085995086,0.3955773955773956,0.33415233415233414,0.14742014742014742,0,0,0,0,0.5896805896805897,0,0.056511056511056514,0.04914004914004914,0.3316953316953317,0.022113022113022112
SITE546,USA,91,1,0,0,0.9230769230769231,0,0.07692307692307693,0,0,0,0,0,0,0.43956043956043955,0.3956043956043956,0.10989010989010989,0,0.054945054945054944,0,0,0.5934065934065934,0,0,0,0.3516483516483517,0.054945054945054944
SITE200,USA,344,0.997093023255814,0.0029069767441860465,0.0436046511627907,0.9563953488372093,0,0,0,0,0,0,0,0.08139534883720931,0.375,0.3633720930232558,0.18023255813953487,0,0,0,0,0.6773255813953488,0,0.04941860465116279,0,0.2877906976744186,-0.014534883720930232
SITE775,USA,208,1,0,0.11538461538461539,0.8846153846153846,0,0,0,0,0,0,0,0.22596153846153846,0.36538461538461536,0.2692307692307692,0.13942307692307693,0,0,0,0,0.33653846153846156,0,0.25961538461538464,0.09615384615384616,0.4807692307692308,-0.07692307692307693
SITE455,USA,106,0.9811320754716981,0.018867924528301886,0,0.9528301886792453,0,0.04716981132075472,0,0,0,0,0,0,0.32075471698113206,0.44339622641509435,0.16981132075471697,0,0.0660377358490566,0,0,0.19811320754716982,0,0,0,0.7075471698113207,0.09433962264150944
SITE981,USA,872,0.963302752293578,0.03669724770642202,0.0676605504587156,0.9323394495412844,0,0,0,0,0,0,0,0.0768348623853211,0.3463302752293578,0.3268348623853211,0.25,0,0,0,0,0.4288990825688073,0,0.16055045871559634,0.1341743119266055,0.38646788990825687,0.02408256880733945
SITE432,USA,84,1,0,0,0.8928571428571429,0,0.10714285714285714,0,0,0,0,0,0,0.23809523809523808,0.4166666666666667,0.30952380952380953,0,0.03571428571428571,0,0,0,0,0,0,0.7857142857142857,0.21428571428571427
SITE376,USA,97,1,0,0,0.9484536082474226,0,0.05154639175257732,0,0,0,0,0,0.13402061855670103,0.28865979381443296,0.25773195876288657,0.31958762886597936,0,0,0,0,0.20618556701030927,0,0.12371134020618557,0,0.5876288659793815,0.08247422680412371
SITE913,USA,335,0.9761194029850746,0.023880597014925373,0.03880597014925373,0.9611940298507463,0,0,0,0,0,0,0,0.10746268656716418,0.3402985074626866,0.3522388059701492,0.2,0,0,0,0,0.19701492537313434,0,0.1761194029850746,0.12238805970149254,0.6208955223880597,0.005970149253731343
SITE980,USA,131,0.9847328244274809,0.015267175572519083,0,0.9694656488549618,0,0.030534351145038167,0,0,0,0,0,0,0.32061068702290074,0.3893129770992366,0.25190839694656486,0,0.03816793893129771,0,0,0.17557251908396945,0,0,0,0.7557251908396947,0.06870229007633588
SITE622,USA,137,0.9854014598540146,0.014598540145985401,0,0.9708029197080292,0,0.029197080291970802,0,0,0,0,0,0,0.3722627737226277,0.4233576642335766,0.1386861313868613,0,0.06569343065693431,0,0,0.5474452554744526,0,0,0,0.40875912408759124,0.043795620437956206
SITE719,USA,183,0.9781420765027322,0.02185792349726776,0.07650273224043716,0.9234972677595629,0,0,0,0,0,0,0,0.09289617486338798,0.44808743169398907,0.29508196721311475,0.16393442622950818,0,0,0,0,0.7213114754098361,0,0,0.07103825136612021,0.19672131147540983,0.08196721311475409
SITE214,USA,125,1,0,0,0.968,0,0.032,0,0,0,0,0,0.08,0.368,0.328,0.224,0,0,0,0,0.576,0,0,0,0.392,0.032
SITE834,USA,267,0.9775280898876404,0.02247191011235955,0.11235955056179775,0.8876404494382022,0,0,0,0,0,0,0,0.13857677902621723,0.4419475655430712,0.24719101123595505,0.17228464419475656,0,0,0,0,0.7265917602996255,0,0,0,0.2247191011235955,0.04868913857677903
SITE923,USA,234,0.9017094017094017,0.09829059829059829,0.07692307692307693,0.9230769230769231,0,0,0,0,0,0,0,0.14957264957264957,0.41452991452991456,0.2863247863247863,0.1452991452991453,0,0.004273504273504274,0,0,0.3076923076923077,0,0.21794871794871795,0.0641025641025641,0.5811965811965812,-0.10683760683760683
SITE762,USA,120,0.9916666666666667,0.008333333333333333,0,0.95,0,0.05,0,0,0,0,0,0,0.4083333333333333,0.36666666666666664,0.15833333333333333,0,0.06666666666666667,0,0,0.5833333333333334,0,0,0,0.375,0.041666666666666664
SITE734,USA,3182,0.33532369578881205,0.664676304211188,0.464487743557511,0.535512256442489,0,0,0,0,0,0.004085480829666876,0.0251414204902577,0.22564424890006285,0.3651791326209931,0.17127592708988057,0.20207416719044627,0,0.006599622878692646,0.006285355122564425,0.03771213073538655,0.17630421118793213,0,0.028598365807668134,0.2501571338780641,0.49308610936517916,0.25801382778126963
